City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
306,Kavaratti,IN,10.5669,72.642,79.12,63,61,11.81,broken clouds
307,Hofn,IS,64.2539,-15.2082,32.02,51,20,25.32,few clouds
308,Usinsk,RU,65.9939,57.5281,-4.22,100,90,6.38,overcast clouds
309,Itaituba,BR,-4.2761,-55.9836,84.36,79,40,0.0,scattered clouds
310,Batagay-Alyta,RU,67.8006,130.4114,-26.81,99,10,3.69,clear sky
311,Bhag,PK,29.0415,67.8239,65.46,21,0,4.88,clear sky
312,Omboue,GA,-1.5746,9.2618,80.29,77,49,7.29,scattered clouds
313,Axim,GH,4.8699,-2.2405,83.44,65,43,9.6,scattered clouds
314,Laguna,US,38.421,-121.4238,57.04,82,0,0.0,mist
315,Ulladulla,AU,-35.35,150.4667,61.7,80,85,10.63,overcast clouds
316,Labuan,MY,5.2767,115.2417,80.76,88,20,1.99,few clouds
317,Sola,VU,-13.8833,167.55,81.03,80,100,26.87,moderate rain
318,Turukhansk,RU,65.8167,87.9833,12.11,93,100,14.05,overcast clouds
319,Fergus Falls,US,46.283,-96.0776,-2.22,75,0,24.16,haze
320,Kassala,SD,15.451,36.4,82.35,14,3,22.21,clear sky
321,Jalingo,NG,8.8833,11.3667,87.21,14,5,5.95,clear sky
322,Cabimas,VE,10.3883,-71.4399,84.67,65,8,5.41,clear sky
323,Nicoya,CR,10.1483,-85.452,87.35,39,7,13.42,clear sky
324,Ponta Do Sol,PT,32.6667,-17.1,72.01,79,83,1.3,broken clouds
325,Matamoros,MX,25.5333,-103.25,44.53,50,8,8.57,clear sky
326,Cabo Rojo,PR,18.0866,-67.1457,84.67,64,100,7.38,overcast clouds
327,Hassan,IN,13.0006,76.0994,61.79,77,46,7.7,scattered clouds
328,Bolu,TR,40.6667,31.5833,14.04,95,75,0.87,broken clouds
329,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,100.22,30,54,16.4,broken clouds
330,Xunchang,CN,28.4543,104.715,45.46,76,96,1.25,overcast clouds
331,Bose,IT,45.4612,8.0137,49.24,69,8,0.47,clear sky
332,Ambilobe,MG,-13.2,49.05,78.1,83,100,11.88,light rain
333,Kharp,RU,66.8014,65.8081,9.48,96,100,3.0,overcast clouds
334,Mehamn,NO,71.0357,27.8492,13.95,85,0,28.77,clear sky
335,Coruripe,BR,-10.1256,-36.1756,85.87,56,33,14.63,scattered clouds
336,Samarai,PG,-10.6167,150.6667,81.03,81,96,8.84,overcast clouds
337,Besikduzu,TR,41.052,39.2284,42.69,91,100,13.49,moderate rain
338,Luba,GQ,3.4568,8.5547,84.09,78,41,8.52,scattered clouds
339,Banjar,ID,-8.19,114.9675,78.66,86,62,2.95,broken clouds
340,Jewar,IN,28.1333,77.55,54.07,84,0,5.28,clear sky
341,Ndele,CF,8.4109,20.6473,84.07,14,39,4.59,scattered clouds
342,Bosobolo,CD,4.1833,19.9,85.59,19,80,0.63,broken clouds
343,Voskresenskoye,RU,56.8381,45.4317,19.35,90,100,11.77,snow
344,Dalnerechensk,RU,45.9339,133.7225,-9.94,99,85,4.92,overcast clouds
